symbol,timestamp,open,high,low,close,volume,trade_count,vwap,SMA_20,EMA_20,RSI_14,MACD,MACD_SIGNAL,MACD_HIST,ATR_14
SPY,2025-04-04 04:00:00,523.67,525.87,505.06,505.28,217962675.0,1957407.0,513.476423,559.1049999999992,559.6598633369008,23.24359294524958,-11.810274909000782,-8.120767837813464,-3.689507071187318,12.479753316027512
SPY,2025-04-07 04:00:00,489.19,523.17,481.8,504.38,256611355.0,2517692.0,501.2808,556.2949999999992,554.3951144476722,23.056177988186626,-14.741576169125779,-9.444929504075926,-5.2966466650498525,14.543342364882687
SPY,2025-04-08 04:00:00,521.86,524.98,489.16,496.48,165794399.0,1708494.0,507.249518,553.3229999999992,548.8793892621796,21.423289915485284,-17.500383980686593,-11.05602039939806,-6.444363581288533,16.063103624533923
SPY,2025-04-09 04:00:00,493.44,548.62,493.05,548.62,241835081.0,2298809.0,523.427405,552.8104999999991,548.8546855229245,47.733371954123115,-15.303092277713631,-11.905434775061174,-3.397657502652457,18.88502479421007
SPY,2025-04-10 04:00:00,532.17,533.495,509.32,524.58,162331225.0,1754794.0,522.984816,551.4684999999992,546.5428107112174,40.928737105474404,-15.324894022931744,-12.589326624635287,-2.735567398296457,20.34323730890935
SPY,2025-04-11 04:00:00,523.01,536.43,520.07,533.94,97866334.0,1019118.0,529.421297,550.0249999999992,545.3425430244348,44.26048378894317,-14.42066582875293,-12.955594465458816,-1.4650713632941148,20.05872035827296
SPY,2025-04-14 04:00:00,544.05,544.28,533.86,539.12,68033993.0,752545.0,539.680399,548.6234999999992,544.7499198792506,46.07323692619863,-13.13466749053589,-12.99140907047423,-0.14325842006165956,19.370240332682034
SPY,2025-04-15 04:00:00,539.675,543.23,536.81,537.61,56892874.0,547009.0,539.499642,547.4529999999993,544.0699275097982,45.6076030282281,-12.09789195500366,-12.812705647380117,0.7148136923764561,18.44522316606189
SPY,2025-04-16 04:00:00,531.68,537.8854,520.29,525.66,83484814.0,770794.0,527.333639,545.3794999999993,542.3166010802936,41.990793891837264,-12.10101206870354,-12.670366931644802,0.5693548629412621,18.384521511343188
SPY,2025-04-17 04:00:00,527.64,531.165,523.91,526.41,79866673.0,633834.0,527.758866,543.4254999999993,540.8016866916942,42.30006667032354,-11.905724270961741,-12.51743839950819,0.6117141285464491,17.58955568910439
SPY,2025-04-21 04:00:00,521.16,521.7,508.46,513.88,69368129.0,715706.0,512.893584,540.9204999999993,538.2377165305804,38.597690169988915,-12.616587400697199,-12.537268199745991,-0.07931920095120759,17.61530171131122
SPY,2025-04-22 04:00:00,520.14,529.305,519.1925,527.25,75948017.0,712400.0,525.101409,538.5789999999993,537.1912673371918,44.209052186167526,-11.963199967860874,-12.422454553368969,0.45925458550809495,17.4588515890747
SPY,2025-04-23 04:00:00,540.43,545.43,533.88,535.42,90590658.0,885537.0,539.263374,536.5769999999992,537.0225752098402,47.37394995616431,-10.663216082101826,-12.07060685911554,1.4073907770137133,17.510362189855076
SPY,2025-04-24 04:00:00,536.715,547.43,535.4504,546.69,64150418.0,580937.0,543.868005,535.4819999999993,537.9432823327126,51.464155041284364,-8.624160717679842,-11.3813176308284,2.757156913148558,17.117479176294
